Pixel 0 -calc  ocorre1498
Pixel 1 -calc  ocorre701
Pixel 2 -calc  ocorre1877
Pixel 3 -calc  ocorre614
Pixel 4 -calc  ocorre0
Pixel 5 -calc  ocorre453
Pixel 6 -calc  ocorre0
Pixel 7 -calc  ocorre0
Pixel 8 -calc  ocorre0
Pixel 9 -calc  ocorre0
Pixel 10 -calc  ocorre0
Pixel 11 -calc  ocorre0
Pixel 12 -calc  ocorre0
Pixel 13 -calc  ocorre0
Pixel 14 -calc  ocorre0
Pixel 15 -calc  ocorre0
Pixel 16 -calc  ocorre0
Pixel 17 -calc  ocorre0
Pixel 18 -calc  ocorre0
Pixel 19 -calc  ocorre0
Pixel 20 -calc  ocorre0
Pixel 21 -calc  ocorre1818
Pixel 22 -calc  ocorre0
Pixel 23 -calc  ocorre0
Pixel 24 -calc  ocorre0
Pixel 25 -calc  ocorre0
Pixel 26 -calc  ocorre0
Pixel 27 -calc  ocorre0
Pixel 28 -calc  ocorre0
Pixel 29 -calc  ocorre632
Pixel 30 -calc  ocorre0
Pixel 31 -calc  ocorre0
Pixel 32 -calc  ocorre0
Pixel 33 -calc  ocorre0
Pixel 34 -calc  ocorre0
Pixel 35 -calc  ocorre0
Pixel 36 -calc  ocorre0
Pixel 37 -calc  ocorre646
Pixel 38 -calc  ocorre0
Pixel 39 -calc  ocorre0
Pixel 40 -calc  ocorre0
Pixel 41 -calc  ocorre0
Pixel 42 -calc  ocorre0
Pixel 43 -calc  ocorre0
Pixel 44 -calc  ocorre0
Pixel 45 -calc  ocorre0
Pixel 46 -calc  ocorre781
Pixel 47 -calc  ocorre0
Pixel 48 -calc  ocorre0
Pixel 49 -calc  ocorre0
Pixel 50 -calc  ocorre0
Pixel 51 -calc  ocorre0
Pixel 52 -calc  ocorre0
Pixel 53 -calc  ocorre0
Pixel 54 -calc  ocorre0
Pixel 55 -calc  ocorre0
Pixel 56 -calc  ocorre825
Pixel 57 -calc  ocorre0
Pixel 58 -calc  ocorre0
Pixel 59 -calc  ocorre0
Pixel 60 -calc  ocorre0
Pixel 61 -calc  ocorre0
Pixel 62 -calc  ocorre0
Pixel 63 -calc  ocorre0
Pixel 64 -calc  ocorre0
Pixel 65 -calc  ocorre0
Pixel 66 -calc  ocorre765
Pixel 67 -calc  ocorre0
Pixel 68 -calc  ocorre0
Pixel 69 -calc  ocorre0
Pixel 70 -calc  ocorre0
Pixel 71 -calc  ocorre0
Pixel 72 -calc  ocorre0
Pixel 73 -calc  ocorre0
Pixel 74 -calc  ocorre0
Pixel 75 -calc  ocorre757
Pixel 76 -calc  ocorre0
Pixel 77 -calc  ocorre0
Pixel 78 -calc  ocorre0
Pixel 79 -calc  ocorre0
Pixel 80 -calc  ocorre0
Pixel 81 -calc  ocorre0
Pixel 82 -calc  ocorre0
Pixel 83 -calc  ocorre0
Pixel 84 -calc  ocorre0
Pixel 85 -calc  ocorre820
Pixel 86 -calc  ocorre0
Pixel 87 -calc  ocorre0
Pixel 88 -calc  ocorre0
Pixel 89 -calc  ocorre0
Pixel 90 -calc  ocorre0
Pixel 91 -calc  ocorre0
Pixel 92 -calc  ocorre0
Pixel 93 -calc  ocorre0
Pixel 94 -calc  ocorre0
Pixel 95 -calc  ocorre0
Pixel 96 -calc  ocorre0
Pixel 97 -calc  ocorre0
Pixel 98 -calc  ocorre0
Pixel 99 -calc  ocorre0
Pixel 100 -calc  ocorre0
Pixel 101 -calc  ocorre0
Pixel 102 -calc  ocorre0
Pixel 103 -calc  ocorre0
Pixel 104 -calc  ocorre1649
Pixel 105 -calc  ocorre0
Pixel 106 -calc  ocorre0
Pixel 107 -calc  ocorre0
Pixel 108 -calc  ocorre0
Pixel 109 -calc  ocorre0
Pixel 110 -calc  ocorre0
Pixel 111 -calc  ocorre0
Pixel 112 -calc  ocorre0
Pixel 113 -calc  ocorre696
Pixel 114 -calc  ocorre0
Pixel 115 -calc  ocorre0
Pixel 116 -calc  ocorre0
Pixel 117 -calc  ocorre0
Pixel 118 -calc  ocorre0
Pixel 119 -calc  ocorre0
Pixel 120 -calc  ocorre588
Pixel 121 -calc  ocorre0
Pixel 122 -calc  ocorre0
Pixel 123 -calc  ocorre0
Pixel 124 -calc  ocorre0
Pixel 125 -calc  ocorre0
Pixel 126 -calc  ocorre523
Pixel 127 -calc  ocorre0
Pixel 128 -calc  ocorre0
Pixel 129 -calc  ocorre0
Pixel 130 -calc  ocorre0
Pixel 131 -calc  ocorre0
Pixel 132 -calc  ocorre494
Pixel 133 -calc  ocorre0
Pixel 134 -calc  ocorre0
Pixel 135 -calc  ocorre0
Pixel 136 -calc  ocorre0
Pixel 137 -calc  ocorre389
Pixel 138 -calc  ocorre0
Pixel 139 -calc  ocorre0
Pixel 140 -calc  ocorre0
Pixel 141 -calc  ocorre0
Pixel 142 -calc  ocorre389
Pixel 143 -calc  ocorre0
Pixel 144 -calc  ocorre0
Pixel 145 -calc  ocorre312
Pixel 146 -calc  ocorre0
Pixel 147 -calc  ocorre0
Pixel 148 -calc  ocorre0
Pixel 149 -calc  ocorre289
Pixel 150 -calc  ocorre0
Pixel 151 -calc  ocorre0
Pixel 152 -calc  ocorre262
Pixel 153 -calc  ocorre0
Pixel 154 -calc  ocorre162
Pixel 155 -calc  ocorre0
Pixel 156 -calc  ocorre144
Pixel 157 -calc  ocorre138
Pixel 158 -calc  ocorre0
Pixel 159 -calc  ocorre114
Pixel 160 -calc  ocorre105
Pixel 161 -calc  ocorre93
Pixel 162 -calc  ocorre82
Pixel 163 -calc  ocorre72
Pixel 164 -calc  ocorre72
Pixel 165 -calc  ocorre123
Pixel 166 -calc  ocorre88
Pixel 167 -calc  ocorre44
Pixel 168 -calc  ocorre125
Pixel 169 -calc  ocorre38
Pixel 170 -calc  ocorre119
Pixel 171 -calc  ocorre72
Pixel 172 -calc  ocorre74
Pixel 173 -calc  ocorre109
Pixel 174 -calc  ocorre60
Pixel 175 -calc  ocorre84
Pixel 176 -calc  ocorre85
Pixel 177 -calc  ocorre81
Pixel 178 -calc  ocorre86
Pixel 179 -calc  ocorre96
Pixel 180 -calc  ocorre81
Pixel 181 -calc  ocorre66
Pixel 182 -calc  ocorre91
Pixel 183 -calc  ocorre87
Pixel 184 -calc  ocorre83
Pixel 185 -calc  ocorre93
Pixel 186 -calc  ocorre78
Pixel 187 -calc  ocorre76
Pixel 188 -calc  ocorre87
Pixel 189 -calc  ocorre87
Pixel 190 -calc  ocorre80
Pixel 191 -calc  ocorre80
Pixel 192 -calc  ocorre87
Pixel 193 -calc  ocorre0
Pixel 194 -calc  ocorre0
Pixel 195 -calc  ocorre0
Pixel 196 -calc  ocorre0
Pixel 197 -calc  ocorre0
Pixel 198 -calc  ocorre0
Pixel 199 -calc  ocorre0
Pixel 200 -calc  ocorre0
Pixel 201 -calc  ocorre0
Pixel 202 -calc  ocorre0
Pixel 203 -calc  ocorre0
Pixel 204 -calc  ocorre0
Pixel 205 -calc  ocorre0
Pixel 206 -calc  ocorre0
Pixel 207 -calc  ocorre0
Pixel 208 -calc  ocorre0
Pixel 209 -calc  ocorre0
Pixel 210 -calc  ocorre0
Pixel 211 -calc  ocorre0
Pixel 212 -calc  ocorre0
Pixel 213 -calc  ocorre0
Pixel 214 -calc  ocorre0
Pixel 215 -calc  ocorre0
Pixel 216 -calc  ocorre0
Pixel 217 -calc  ocorre0
Pixel 218 -calc  ocorre0
Pixel 219 -calc  ocorre0
Pixel 220 -calc  ocorre0
Pixel 221 -calc  ocorre0
Pixel 222 -calc  ocorre0
Pixel 223 -calc  ocorre0
Pixel 224 -calc  ocorre0
Pixel 225 -calc  ocorre0
Pixel 226 -calc  ocorre0
Pixel 227 -calc  ocorre0
Pixel 228 -calc  ocorre0
Pixel 229 -calc  ocorre0
Pixel 230 -calc  ocorre0
Pixel 231 -calc  ocorre0
Pixel 232 -calc  ocorre0
Pixel 233 -calc  ocorre0
Pixel 234 -calc  ocorre0
Pixel 235 -calc  ocorre0
Pixel 236 -calc  ocorre0
Pixel 237 -calc  ocorre0
Pixel 238 -calc  ocorre0
Pixel 239 -calc  ocorre0
Pixel 240 -calc  ocorre0
Pixel 241 -calc  ocorre0
Pixel 242 -calc  ocorre0
Pixel 243 -calc  ocorre0
Pixel 244 -calc  ocorre0
Pixel 245 -calc  ocorre0
Pixel 246 -calc  ocorre0
Pixel 247 -calc  ocorre0
Pixel 248 -calc  ocorre0
Pixel 249 -calc  ocorre0
Pixel 250 -calc  ocorre0
Pixel 251 -calc  ocorre0
Pixel 252 -calc  ocorre0
Pixel 253 -calc  ocorre0
Pixel 254 -calc  ocorre0
Pixel 255 -calc  ocorre0
